spl_id;ENV_Site;ENV_Depth;ENV_Latitude;ENV_Longitude;ENV_Management;No-Take;ENV_Coast_type;ENV_Wave_energy;ENV_Terrace_width;ENV_Substratum_hard;ENV_Rugosity;ENV_Height_vertical;ENV_Coral_live;ENV_Coral_reef_building;BIO_Taxo_Ric;BIO_Taxo_Ent;BIO_Func_Ric;BIO_Func_Ent;BIO_Phyl_Ric;BIO_Phyl_Ent;BIO_qual;ES_totbiom;ES_totbiom_fished
site97_5;97;5;12.21968;-68.395;Marine park;0;Low shore;470;88.2;16.44;1.6015;28.75;36.72971;44.44679;23;11.0213;5.1846;3.8736;7.2204;2.9229;0.759397006;11937.01039;3795.843276
site98_5;98;5;12.21984;-68.3904;Marine park;0;Low shore;450;100.8;12.075;1.3755;28.5;23.19345;91.48936;24;10.7919;4.9903;3.6154;8.0281;2.9351;0.915180023;8641.021604;2453.339484
site99_5;99;5;12.21872;-68.383;Marine park;0;Low shore;450;88.2;12.79;1.3415;23.83333;26.44437;100;13;6.9194;3.9579;2.8149;4.7769;2.5426;0.921833405;3631.783096;1004.365733
site100_5;100;5;12.2196;-68.3775;Marine park;0;Low shore;430;105;12.09;1.2125;10.41667;22.11472;86.25;18;10.3409;4.6719;2.9496;6.6354;2.8714;0.803127258;5380.081631;1340.423579
site101_5;101;5;12.21952;-68.3721;No diving reserve;0;Low shore;430;117.6;12.985;1.369;22.41667;12.74946;98.8024;21;11.4613;4.2326;3.6036;5.8614;2.5815;0.848159891;7088.878238;1819.651686
site102_5;102;5;12.21969;-68.3667;No diving reserve;0;Low shore;400;96.6;13.4;1.476;20.5;18.50495;85.82498;19;13.6564;5.1472;4.6051;6.3763;2.7221;0.68027038;7167.272429;2867.23745
site103_5;103;5;12.21945;-68.3628;No diving reserve;0;Low shore;400;105;15.54;1.5195;37.58333;45.06305;67.53615;21;12.2477;5.0161;3.9738;7.1139;2.8404;0.753875733;6371.196895;2481.066997
site104_5;104;5;12.21929;-68.358;No diving reserve;0;Low shore;370;75.6;16.28;1.4275;6.333333;13.37873;47.53846;22;13.2616;4.4346;3.4843;6.4229;2.9673;0.543495745;9018.907627;2998.383009
site105_5;105;5;12.21755;-68.3497;Marine park;0;Cliff;410;37.8;16.265;1.7135;68.83333;63.00653;55.37313;18;9.5588;4.7144;3.6449;6.1581;2.3686;0.61112653;18621.13066;5587.615305
site118_5;118;5;12.15105;-68.2946;Marine park;0;Low shore;310;42;14.16;1.551;13.75;2.788462;6.321839;18;8.1509;4.9906;3.4506;6.853;2.6599;0.853122091;5694.90501;2325.71565
site119_5;119;5;12.14924;-68.2961;Marine park;0;Low shore;310;58.8;14.4;1.481;39;18.89203;90.5507;27;10.599;5.297;3.2799;9.2363;2.8097;0.880414575;16005.53877;8731.570921
