spl_id,ENV_spl_longitude,ENV_spl_latitude,Depth,SST,Chla,Eup,Sal,NPP,Sub,TaxR,TaxE,FunR,FunE,PhyR,PhyE,BIO_qual,TBiom,FBiom
IR_100,-12.127,53.461,315,11.47999364,0.116589278,53.16323853,35.39500073,203.584137,Sandy_mud,19,1.4876,4.3444,1.3282,7.9704,1.2646,1,1350.468,1334.882
IR_101,-11.934,53.611,295,11.38999364,0.138676196,52.05659103,35.44400073,212.6708221,Sandy_mud,19,4.4546,5.287,2.428,7.6646,1.9147,1,278.82,250.48
IR_102,-11.591,53.556,213,11.37999364,0.187050357,50.27047729,35.40200073,236.4007721,Sandy_mud,22,5.722,5.1939,2.1583,8.6061,1.8728,1,423.746,389.034
IR_103,-11.398,53.688,220,11.31999364,0.215079039,49.72525024,35.41200073,239.2285004,Sandy_mud,23,8.2123,5.2744,3.4992,9.2102,2.6894,1,181.644,157.568
IR_104,-11.202,53.924,218,11.27999364,0.283136576,49.10456085,35.39400073,237.350174,Sandy_mud,19,8.6358,5.1458,4.1825,7.8629,2.7512,1,98.358,74.752
IR_105,-8.821,54.395,53,10.80999365,0.679605305,49.63034821,34.38000068,169.0754852,Sand,25,4.9618,5.7088,2.5832,8.5382,2.1332,1,623.57,356.756
IR_106,-9.273,54.322,40,11.03999365,0.807196736,49.88825607,34.7150007,182.4411163,Seabed,16,4.6571,4.8786,2.4564,6.8275,1.9388,1,510.19,431.26
IR_107,-9.626,54.34,41,11.16999365,0.412519485,50.66038895,,184.8423157,Seabed,17,4.0463,5.2982,2.8246,6.6192,2.0923,1,396.718,374.724
IR_108,-9.848,54.486,97,11.31999364,0.411249191,50.86333847,35.04700071,166.6239624,Sand,24,3.8441,5.519,2.4902,9.0793,1.9931,1,1969.053,1749.792
IR_109,-10.187,54.459,114,11.22999365,0.527596056,51.29883575,35.14600072,150.1386414,Seabed,22,6.5552,5.3373,3.3318,7.9672,2.6113,1,938.854,676.298
IR_110,-10.312,54.302,113,11.18999365,0.654446125,50.57018661,35.18800072,151.7390747,Seabed,24,3.0942,5.9407,2.2894,9.6653,1.9472,1,1523.684,770.11
IR_111,-10.677,54.179,175,11.23999365,0.486718535,50.49246979,35.33200073,162.079361,Seabed,24,10.0029,6.1287,3.8393,8.8751,3.2591,1,1160.018,871.498
IR_112,-11.039,54.077,226,11.25999364,0.324785173,50.63277054,35.38000073,159.8523254,Sandy_mud,24,5.5495,5.4845,3.1689,9.6259,2.6387,1,375.992,319.372
IR_113,-11.203,54.26,326,11.31999364,0.301149428,51.30699539,35.35600073,150.9399414,Sandy_mud,17,2.8457,5.3268,1.699,7.3896,1.9518,0.999963656,550.304,458.43
IR_114,-10.859,53.425,134,11.29999364,0.216412574,53.99489975,35.24300072,142.8871765,Seabed,25,3.0282,5.0001,2.2219,8.1677,1.8277,1,2818.982,754.69
IR_115,-11.212,53.227,141,11.29999364,0.284627408,54.29518127,35.28100073,140.5852051,Sand,23,5.979,5.5021,3.7311,8.4395,2.9481,1,1341.526,592.94
IR_116,-11.233,53.033,133,11.27999364,0.271276921,54.38167191,35.39100073,139.0132751,Seabed,24,4.8615,5.6527,3.2416,8.8297,2.4299,1,11412.177,5653.416
IR_117,-11.066,52.907,132,11.23999365,0.316114068,54.71134949,35.30700073,176.4473572,Sand,26,2.2951,5.6903,1.8481,9.4804,1.6306,1,3277.694,495.214
IR_118,-10.877,52.774,125,11.22999365,0.412569761,53.59069061,35.01000071,183.825058,Sand,28,1.994,5.8671,1.5685,10.264,1.4757,1,2128.914,165.318
IR_119,-11.477,52.766,138,11.35999364,0.341605574,53.96836472,35.39300073,184.4076233,Seabed,23,2.4872,5.7974,1.9493,9.1476,1.7252,1,2277.292,368.942
IR_120,-10.287,53.318,118,10.90999365,0.398413479,51.24461746,34.88000071,60.50720596,Sandy_mud,24,4.3534,6.2428,2.8984,10.2188,2.3126,1,285.372,263.368
IR_121,-9.974,52.946,98,10.87999365,0.41243571,51.10575485,34.90200071,65.24897766,Sandy_mud,21,7.1823,6.0855,3.1723,9.2336,3.385,1,135.958,122.84
IR_122,-9.719,53.054,71,10.73999366,0.482379019,49.16390228,34.23400068,60.775177,Sandy_mud,26,2.2631,6.1558,2.0247,10.3048,1.9377,1,5191.2148,5165.7148
IR_123,-9.765,52.553,17,10.52999366,5.179225922,46.71737671,33.30600063,140.4816284,Sand,12,2.35,4.5639,2.0065,6.1339,1.6947,1,129.926,107.14
IR_124,-10.34,52.521,97,10.84999365,0.648107409,52.26343918,35.01300071,111.1974945,Muddy_sand,24,11.2997,5.8781,3.9955,10.2684,3.8207,1,117.104,47.386
IR_125,-9.629,52.758,49,10.65999366,1.962070107,49.43527603,34.19400067,110.8101959,Sand,21,3.0612,6.0972,1.9139,8.979,2.0019,1,937.368,916.464
IR_126,-10.204,51.69,76,10.74999366,0.686080754,52.38276672,34.96100071,202.9574127,Sandy_mud,23,4.1347,6.2823,2.0723,10.1608,2.1889,1,172.782,157.074
IR_127,-10.55,51.927,92,10.83999365,0.80424279,52.94944763,35.16500072,194.7394409,Sand,27,5.7385,5.8752,3.2547,10.6494,2.5563,1,425.572,323.794
IR_128,-10.464,51.477,130,11.03999365,0.634439766,53.44030762,35.24600072,182.4725037,Sand,29,9.5442,5.5955,3.261,10.6295,2.5236,1,168.686,121.42
IR_129,-9.753,50.336,130,11.21999365,0.368764192,55.69954681,35.37900073,169.1833496,Sand,24,7.5103,6.1215,2.9914,10.4382,2.9782,1,196.164,56.874
IR_130,-9.154,50.518,130,11.11999365,0.500730336,54.82037354,35.35800073,65.39425659,Muddy_sand,28,5.616,5.3287,2.7586,10.9281,2.2137,1,700.258,387.04
IR_131,-8.913,50.625,126,11.10999365,0.470595598,54.58180618,35.39000073,61.51470947,Muddy_sand,20,3.2037,5.6317,2.2146,8.2507,1.8748,1,326.464,95.578
IR_132,-8.617,50.552,121,11.16999365,0.493238479,54.2947464,35.37400073,54.50928497,Fine_mud,23,6.0873,5.7701,3.222,10.9279,2.2866,1,94.85,70.848
IR_133,-7.787,50.883,105,11.11999365,0.591862679,53.8177948,35.23800072,59.87175751,Coarse_substrate,28,7.4388,5.5085,2.9524,10.1303,2.0787,1,247.684,205.554
IR_134,-7.567,51.034,101,11.47999364,0.664764166,55.50769424,35.22100072,114.8251801,Sand,26,3.4112,5.9501,1.7773,9.6323,1.4453,1,919.816,881.598
IR_135,-7.447,51.156,105,11.58999364,0.756105721,54.38725662,35.23200072,115.3878098,Coarse_substrate,32,8.8593,5.5597,3.0248,12.1223,2.6023,1,319.146,252.018
IR_136,-7.238,51.29,93,11.70999363,0.75457269,53.72149277,35.26300072,109.644043,Coarse_substrate,31,8.5161,5.8949,2.688,10.4977,2.2344,1,343.234,298.726
IR_137,-6.925,51.311,117,11.75999363,0.71468997,53.11481857,35.21400072,92.28881073,Muddy_sand,24,9.6142,6.2236,4.6898,9.8895,3.4221,1,139.006,124.026
IR_138,-7.426,51.898,63,11.33999364,0.889475882,52.52541733,35.09400072,121.8589935,Sand,31,3.0781,6.065,1.8263,11.3645,1.6366,1,1453.438,1319.26
IR_139,-7.087,51.801,73,11.57999364,0.681217551,52.55986786,35.12500072,165.4421387,Coarse_substrate,34,4.5858,6.105,2.2995,12.764,1.9302,0.999997702,870.352,772.168
IR_140,-6.755,52.007,55,11.33999364,0.636727393,52.32329941,35.06500072,142.9675293,Sand,36,8.1003,6.1766,4.134,12.7139,2.9851,1,1661.295875,1376.991125
IR_141,-6.994,51.623,75,11.79999363,0.755714297,52.61642075,35.17400072,189.6912537,Coarse_substrate,29,6.2451,5.5703,2.7039,10.6663,2.156,1,651.999625,570.418
IR_142,-7.177,51.501,78,11.66999364,0.725912571,52.22238159,35.21000072,160.8897095,Coarse_substrate,27,5.0703,5.4987,2.5789,9.9119,2.5335,1,440.744,378.514
IR_143,-7.468,51.589,78,11.53999364,0.618366957,52.88226318,35.20500072,154.4066315,Coarse_substrate,26,3.7139,5.8303,1.6995,10.5722,1.4543,0.999133565,877.158,832.446
IR_144,-7.798,51.632,85,11.29999364,0.66580838,52.56817627,35.08400072,157.0679626,Muddy_sand,31,3.703,6.0184,1.7413,12.1224,1.5413,1,1086.05,1039.662
IR_145,-8.256,51.645,63,11.06999365,0.712560833,50.94238663,34.41000068,158.2168274,Muddy_sand,33,14.7427,6.0511,4.4516,13.0762,3.5937,1,266.074,169.602
IR_146,-7.672,51.243,93,11.39999364,0.642775536,50.17962646,35.23300072,168.1610107,Coarse_substrate,29,5.7149,5.644,1.9712,10.8178,1.648,1,881.194,826.248
IR_147,-7.636,51.4,85,11.43999364,0.61245656,53.06902313,35.25200072,129.6991425,Coarse_substrate,31,4.4529,5.6599,1.8926,11.2506,1.7102,1,401.048,370.656
IR_148,-7.831,51.388,90,11.32999364,0.66859746,51.84595108,35.24300072,139.6796722,Coarse_substrate,28,6.1644,5.4236,2.0683,10.1619,1.756,1,445.336,386.838
IR_149,-8.147,51.482,89,11.14999365,0.654397845,50.50186539,35.21200072,131.8328247,Muddy_sand,35,6.2453,6.1647,2.0781,12.7442,1.7182,1,1341.524,1242.368
